Date,Open,Close
2020-05-14,156.000000,160.666000
2020-05-15,158.070007,159.834000
2020-05-18,165.556000,162.725998
2020-05-19,163.033997,161.602005
2020-05-20,164.100006,163.112000
2020-05-21,163.199997,165.520004
2020-05-22,164.434006,163.376007
2020-05-26,166.899994,163.774002
2020-05-27,164.171997,164.046005
2020-05-28,162.701996,161.162003
2020-05-29,161.750000,167.000000
2020-06-01,171.600006,179.619995
2020-06-02,178.940002,176.311996
2020-06-03,177.623993,176.591995
2020-06-04,177.975998,172.876007
2020-06-05,175.567993,177.132004
2020-06-08,183.800003,189.983994
2020-06-09,188.001999,188.134003
2020-06-10,198.376007,205.009995
2020-06-11,198.039993,194.567993
2020-06-12,196.000000,187.056000
2020-06-15,183.557999,198.179993
2020-06-16,202.369995,196.425995
2020-06-17,197.542007,198.358002
2020-06-18,200.600006,200.792007
2020-06-19,202.556000,200.179993
2020-06-22,199.990005,198.863998
2020-06-23,199.776001,200.356003
2020-06-24,198.822006,192.169998
2020-06-25,190.854004,197.195999
2020-06-26,198.955994,191.947998
2020-06-29,193.802002,201.869995
2020-06-30,201.300003,215.962006
2020-07-01,216.600006,223.925995
2020-07-02,244.296005,241.731995
2020-07-06,255.337997,274.316010
2020-07-07,281.002014,277.971985
2020-07-08,281.000000,273.175995
2020-07-09,279.398010,278.855988
2020-07-10,279.200012,308.929993
2020-07-13,331.799988,299.411987
2020-07-14,311.200012,303.359985
2020-07-15,308.600006,309.201996
2020-07-16,295.432007,300.127991
2020-07-17,302.690002,300.167999
2020-07-20,303.802002,328.600006
2020-07-21,327.985992,313.671997
2020-07-22,319.799988,318.466003
2020-07-23,335.790009,302.614014
2020-07-24,283.201996,283.399994
2020-07-27,287.000000,307.920013
2020-07-28,300.799988,295.298004
2020-07-29,300.200012,299.821991
2020-07-30,297.600006,297.497986
2020-07-31,303.000000,286.152008
2020-08-03,289.839996,297.000000
2020-08-04,299.002014,297.399994
2020-08-05,298.597992,297.003998
2020-08-06,298.165985,297.915985
2020-08-07,299.907990,290.541992
2020-08-10,289.600006,283.713989
2020-08-11,279.200012,274.877991
2020-08-12,294.000000,310.951996
2020-08-13,322.200012,324.200012
2020-08-14,332.997986,330.141998
2020-08-17,335.399994,367.127991
2020-08-18,379.798004,377.417999
2020-08-19,373.000000,375.705994
2020-08-20,372.135986,400.365997
2020-08-21,408.951996,409.996002
2020-08-24,425.256012,402.839996
2020-08-25,394.977997,404.667999
2020-08-26,412.000000,430.634003
2020-08-27,436.092010,447.750000
2020-08-28,459.023987,442.679993
2020-08-31,444.609985,498.320007
2020-09-01,502.140015,475.049988
2020-09-02,478.989990,447.369995
2020-09-03,407.230011,407.000000
2020-09-04,402.809998,418.320007
2020-09-08,356.000000,330.209991
2020-09-09,356.600006,366.279999
2020-09-10,386.209991,371.339996
2020-09-11,381.940002,372.720001
2020-09-14,380.950012,419.619995
2020-09-15,436.559998,457.130005